epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.223,1.19363,0.72936,1.05576,0.74155,0.69216,0.69725,0.40168,1.34149,1.72182,0.71435,0.075025,2.5e-05,2.5e-05
2,112.639,1.14239,0.70875,1.03292,0.73601,0.45579,0.47843,0.29733,1.26838,1.50316,0.70753,0.0490493,4.9317e-05,4.9317e-05
3,164.356,1.12481,0.68241,1.03299,0.79673,0.84761,0.87137,0.54966,1.2044,1.39977,0.69377,0.0230719,7.1918e-05,7.1918e-05
4,215.344,1.10194,0.65278,1.02156,0.81905,0.83513,0.869,0.55274,1.20269,1.38984,0.69253,9.01e-05,9.01e-05,9.01e-05
5,273.499,1.07574,0.63865,1.01376,0.81013,0.83945,0.86871,0.55377,1.1953,1.39351,0.69089,8.68e-05,8.68e-05,8.68e-05
6,322.933,1.06421,0.63482,1.00997,0.79329,0.84441,0.86973,0.55747,1.18524,1.38681,0.68746,8.35e-05,8.35e-05,8.35e-05
7,385.784,1.05835,0.63132,1.00347,0.81269,0.82915,0.8711,0.56034,1.18423,1.37634,0.68631,8.02e-05,8.02e-05,8.02e-05
8,444.447,1.05015,0.62983,1.00227,0.8008,0.84698,0.87128,0.55792,1.18167,1.37113,0.68617,7.69e-05,7.69e-05,7.69e-05
9,506.14,1.04033,0.62014,0.99361,0.80499,0.85105,0.87225,0.55959,1.17821,1.36836,0.68502,7.36e-05,7.36e-05,7.36e-05
10,568.33,1.03447,0.61551,0.99619,0.80803,0.84646,0.87436,0.56041,1.17907,1.36149,0.68501,7.03e-05,7.03e-05,7.03e-05
11,686.608,1.03343,0.61693,0.99589,0.81645,0.83999,0.87314,0.56184,1.17944,1.36395,0.68495,6.7e-05,6.7e-05,6.7e-05
12,784.873,1.02709,0.61042,0.99074,0.81444,0.83749,0.8708,0.56271,1.17764,1.3771,0.68486,6.37e-05,6.37e-05,6.37e-05
13,879.228,1.01703,0.605,0.98872,0.8202,0.8371,0.87199,0.56021,1.17869,1.37265,0.68552,6.04e-05,6.04e-05,6.04e-05
14,985.785,1.01114,0.60139,0.98714,0.82838,0.83519,0.87553,0.56441,1.16938,1.35666,0.68313,5.71e-05,5.71e-05,5.71e-05
15,1112.94,1.00511,0.59382,0.98164,0.82521,0.83807,0.87423,0.56703,1.16234,1.35209,0.68148,5.38e-05,5.38e-05,5.38e-05
16,1235.68,1.00773,0.59851,0.98082,0.82821,0.83237,0.87308,0.56759,1.16029,1.35179,0.68076,5.05e-05,5.05e-05,5.05e-05
17,1342.92,0.99957,0.59215,0.98125,0.82386,0.83691,0.87324,0.56569,1.16226,1.34947,0.68099,4.72e-05,4.72e-05,4.72e-05
18,1446.88,0.98969,0.58482,0.97823,0.82531,0.82472,0.87202,0.56515,1.16228,1.35517,0.68078,4.39e-05,4.39e-05,4.39e-05
19,1562.29,0.99507,0.58635,0.97475,0.82587,0.82263,0.87062,0.56297,1.17508,1.36948,0.68322,4.06e-05,4.06e-05,4.06e-05
20,1671.71,0.985,0.58147,0.97439,0.82205,0.81527,0.86697,0.55914,1.18579,1.39042,0.68522,3.73e-05,3.73e-05,3.73e-05
21,1778.98,0.9972,0.59054,0.98035,0.81914,0.81664,0.86583,0.55767,1.19071,1.39357,0.68592,3.4e-05,3.4e-05,3.4e-05
