epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.379,1.72784,1.7473,1.27673,0.35793,0.66142,0.48905,0.20463,1.94616,3.05199,1.40355,0.0003334,0.0003334,0.0003334
2,66.2695,1.64673,1.30075,1.2435,0.42434,0.63895,0.5069,0.24378,1.71373,1.33096,1.26339,0.000669937,0.000669937,0.000669937
3,98.0926,1.56975,1.24122,1.2054,0.40369,0.68898,0.59972,0.29059,1.66505,1.32621,1.2412,0.000992612,0.000992612,0.000992612
4,131.809,1.56359,1.21328,1.20553,0.40471,0.62276,0.52288,0.2592,1.70094,1.26999,1.23864,0.00130142,0.00130142,0.00130142
5,167.881,1.55341,1.18652,1.18242,0.35424,0.49346,0.38302,0.15143,1.82481,3.93767,1.30246,0.00153497,0.00153497,0.00153497
6,207.43,1.57908,1.14321,1.21878,0.49144,0.58776,0.51597,0.24087,1.7702,1.34795,1.31494,0.00150197,0.00150197,0.00150197
7,247.145,1.56338,1.10735,1.20761,0.49895,0.51085,0.47431,0.22915,1.65009,1.21593,1.22237,0.00146896,0.00146896,0.00146896
8,293.09,1.51749,1.05335,1.18614,0.58623,0.40931,0.42063,0.20679,1.61272,1.127,1.1999,0.00143595,0.00143595,0.00143595
9,343.074,1.5134,1.04137,1.17062,0.60781,0.52391,0.49993,0.24041,1.67381,1.10523,1.23489,0.00140295,0.00140295,0.00140295
10,393.478,1.4684,1.00999,1.15741,0.54408,0.53236,0.46227,0.24791,1.52222,0.99255,1.17276,0.00136994,0.00136994,0.00136994
11,444.213,1.50126,0.96672,1.16744,0.4415,0.41705,0.36748,0.1827,1.58652,1.08777,1.17887,0.00133693,0.00133693,0.00133693
12,502.362,1.48607,0.97473,1.16343,0.51703,0.38222,0.32724,0.16465,1.59197,1.03222,1.17778,0.00130393,0.00130393,0.00130393
13,563.187,1.49111,0.98207,1.16603,0.5033,0.37716,0.34148,0.17086,1.56052,1.17423,1.17453,0.00127092,0.00127092,0.00127092
14,624.068,1.49461,0.98299,1.16551,0.53482,0.33318,0.29666,0.14658,1.67722,1.01199,1.21207,0.00123791,0.00123791,0.00123791
15,702.48,1.44985,0.95264,1.14251,0.60766,0.39756,0.36253,0.19555,1.56887,1.0395,1.14025,0.00120491,0.00120491,0.00120491
16,765.841,1.37431,0.90683,1.12068,0.65768,0.43891,0.43775,0.21933,1.73068,0.97048,1.1958,0.0011719,0.0011719,0.0011719
17,831.893,1.37296,0.91473,1.11718,0.5874,0.47067,0.43785,0.24394,1.48823,0.94752,1.1353,0.00113889,0.00113889,0.00113889
18,903.473,1.39254,0.90614,1.11998,0.58775,0.36285,0.32456,0.18319,1.44832,0.98518,1.1265,0.00110589,0.00110589,0.00110589
19,967.769,1.37942,0.89302,1.12281,0.5404,0.32657,0.32257,0.18025,1.42539,0.92887,1.10469,0.00107288,0.00107288,0.00107288
20,1027.16,1.37435,0.90464,1.11413,0.59305,0.34544,0.35351,0.19305,1.43582,0.89436,1.11888,0.00103987,0.00103987,0.00103987
21,1079.81,1.35006,0.87928,1.1165,0.66711,0.56811,0.56782,0.31406,1.44136,0.89551,1.13293,0.00100687,0.00100687,0.00100687
22,1170.29,1.35347,0.86815,1.10381,0.7094,0.64908,0.64724,0.36248,1.37332,0.8764,1.09656,0.000973861,0.000973861,0.000973861
23,1259.78,1.34119,0.85366,1.11228,0.7138,0.43238,0.46238,0.26841,1.44881,0.85224,1.12006,0.000940855,0.000940855,0.000940855
24,1309.79,1.31153,0.84469,1.09079,0.65064,0.37378,0.36182,0.20514,1.39904,0.97026,1.11413,0.000907848,0.000907848,0.000907848
25,1368.41,1.2921,0.82637,1.08281,0.71604,0.67974,0.70269,0.39423,1.40194,0.83105,1.1076,0.000874842,0.000874842,0.000874842
26,1430.33,1.28566,0.81448,1.08754,0.74905,0.67008,0.69113,0.40931,1.3328,0.79719,1.08515,0.000841835,0.000841835,0.000841835
27,1496.94,1.29922,0.81279,1.09465,0.73051,0.7874,0.79485,0.46149,1.42578,0.84206,1.10419,0.000808828,0.000808828,0.000808828
28,1562.89,1.25013,0.79791,1.07286,0.74201,0.76593,0.80394,0.47806,1.34761,0.81552,1.09174,0.000775822,0.000775822,0.000775822
29,1645.8,1.26611,0.81111,1.08072,0.72541,0.57786,0.59055,0.35613,1.3906,0.81291,1.09663,0.000742815,0.000742815,0.000742815
30,1718.75,1.24657,0.79141,1.06755,0.74768,0.54548,0.5677,0.35649,1.33416,0.79282,1.07808,0.000709809,0.000709809,0.000709809
31,1795.61,1.25144,0.78537,1.06765,0.7682,0.65944,0.69105,0.40373,1.41071,0.79329,1.09847,0.000676802,0.000676802,0.000676802
32,1860.44,1.24512,0.78027,1.06585,0.76538,0.80092,0.8221,0.49036,1.38348,0.79809,1.08594,0.000643795,0.000643795,0.000643795
33,1919.68,1.23004,0.76002,1.05784,0.79546,0.78872,0.82226,0.50634,1.30782,0.78139,1.07084,0.000610789,0.000610789,0.000610789
34,1981.38,1.20672,0.75705,1.05555,0.75927,0.79031,0.82846,0.5096,1.32203,0.78603,1.07135,0.000577782,0.000577782,0.000577782
35,2041.8,1.19606,0.75631,1.05175,0.77688,0.81212,0.83766,0.52302,1.28824,0.76314,1.06828,0.000544776,0.000544776,0.000544776
36,2116.4,1.17599,0.74277,1.05156,0.77496,0.80714,0.83478,0.51322,1.35377,0.77434,1.08043,0.000511769,0.000511769,0.000511769
37,2193.82,1.18571,0.74063,1.04078,0.78095,0.75495,0.80806,0.50993,1.27145,0.74969,1.06179,0.000478762,0.000478762,0.000478762
38,2273.46,1.17776,0.73752,1.0427,0.77855,0.80112,0.8392,0.51826,1.33012,0.7644,1.07879,0.000445756,0.000445756,0.000445756
39,2344.42,1.17227,0.72508,1.03971,0.7873,0.79834,0.83693,0.52149,1.2941,0.75807,1.06193,0.000412749,0.000412749,0.000412749
40,2399.71,1.14392,0.71568,1.02727,0.77381,0.79458,0.83567,0.52413,1.27854,0.75278,1.06049,0.000379743,0.000379743,0.000379743
41,2469.79,1.15886,0.72003,1.03306,0.7779,0.79282,0.83924,0.53317,1.25651,0.74293,1.05503,0.000346736,0.000346736,0.000346736
42,2532.7,1.15478,0.71199,1.03736,0.77694,0.79642,0.83931,0.52306,1.32673,0.76584,1.06924,0.000313729,0.000313729,0.000313729
43,2601.7,1.15111,0.70511,1.03575,0.80202,0.76765,0.83145,0.52734,1.2767,0.75783,1.05878,0.000280723,0.000280723,0.000280723
44,2673.29,1.11429,0.69106,1.02768,0.76191,0.79552,0.82545,0.52127,1.2466,0.75725,1.05255,0.000247716,0.000247716,0.000247716
45,2752.65,1.11884,0.69079,1.02565,0.76573,0.81171,0.83506,0.52935,1.23624,0.74305,1.04955,0.00021471,0.00021471,0.00021471
46,2834.83,1.10407,0.68406,1.01317,0.76325,0.81481,0.83938,0.53236,1.25122,0.74615,1.05053,0.000181703,0.000181703,0.000181703
47,2926.07,1.09571,0.6845,1.01941,0.77354,0.81296,0.84013,0.53611,1.23756,0.74358,1.04807,0.000148696,0.000148696,0.000148696
48,2998.57,1.10508,0.67822,1.00836,0.78539,0.80004,0.84043,0.54056,1.23042,0.74202,1.04516,0.00011569,0.00011569,0.00011569
49,3065.73,1.08712,0.67604,1.01533,0.78417,0.80321,0.84455,0.54113,1.24421,0.74035,1.04856,8.26832e-05,8.26832e-05,8.26832e-05
50,3137.33,1.08151,0.67297,1.01654,0.78554,0.81208,0.84275,0.54217,1.24024,0.73919,1.04848,4.96766e-05,4.96766e-05,4.96766e-05
