epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3164,1.13056,0.6977,1.01566,0.58064,0.31162,0.29704,0.18459,1.30409,1.21438,1.07216,0.0801,0.0001,0.0001
2,109.901,1.10739,0.69698,1.01337,0.66059,0.20051,0.21463,0.13526,1.29801,0.84953,1.06566,0.0591915,0.00019147,0.00019147
3,194.229,1.11652,0.69602,1.00907,0.76425,0.78384,0.82658,0.51635,1.26503,0.76182,1.05262,0.0382691,0.00026908,0.00026908
4,270.354,1.08887,0.66961,1.00688,0.78201,0.81675,0.84083,0.54079,1.21109,0.73276,1.04221,0.0173328,0.00033283,0.00033283
5,351.678,1.07102,0.66355,0.99274,0.8166,0.76583,0.83992,0.5435,1.19706,0.74009,1.03523,0.000368,0.000368,0.000368
6,428.265,1.05186,0.6597,0.99229,0.80776,0.80057,0.84741,0.54579,1.22288,0.72489,1.03998,0.000335,0.000335,0.000335
7,517.793,1.04106,0.64266,0.98488,0.79339,0.78026,0.81836,0.52666,1.20518,0.7167,1.03247,0.000302,0.000302,0.000302
8,598.347,1.03,0.63421,0.98425,0.79219,0.82517,0.85524,0.55822,1.18501,0.71615,1.03008,0.000269,0.000269,0.000269
9,688.917,1.02384,0.63008,0.98271,0.79054,0.72995,0.75375,0.49533,1.16378,0.7081,1.02446,0.000236,0.000236,0.000236
10,783.202,1.01183,0.6209,0.97653,0.78208,0.77083,0.78617,0.5174,1.16925,0.70934,1.0262,0.000203,0.000203,0.000203
11,863.681,1.0089,0.6138,0.9784,0.80294,0.81462,0.8519,0.55811,1.16595,0.70936,1.02463,0.00017,0.00017,0.00017
12,938.201,1.00021,0.61044,0.97823,0.81047,0.817,0.85554,0.56387,1.15317,0.70431,1.02083,0.000137,0.000137,0.000137
13,1024.44,0.98602,0.60435,0.97582,0.80398,0.818,0.85572,0.5637,1.15354,0.70861,1.02042,0.000104,0.000104,0.000104
14,1101.88,0.98981,0.60475,0.9696,0.79187,0.82182,0.85488,0.5617,1.15157,0.70912,1.01974,7.1e-05,7.1e-05,7.1e-05
15,1181.45,0.99164,0.60076,0.97158,0.8021,0.82177,0.8562,0.56365,1.15166,0.70897,1.01966,3.8e-05,3.8e-05,3.8e-05
