epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0861,1.1488,0.67053,1.01607,0.76773,0.81618,0.83928,0.52432,1.27514,0.74474,1.05382,0.0802,0.0002,0.0002
2,80.7541,1.07928,0.656,1.00147,0.77714,0.81018,0.84287,0.53454,1.24581,0.73531,1.04739,0.0593829,0.00038294,0.00038294
3,122.82,1.06596,0.64439,0.99923,0.79853,0.79961,0.8445,0.54612,1.21365,0.72251,1.03989,0.0385382,0.00053816,0.00053816
4,175.528,1.05228,0.64433,0.99829,0.79258,0.80615,0.84257,0.54705,1.2093,0.72605,1.03944,0.0176657,0.00066566,0.00066566
5,225.513,1.04707,0.64162,0.98829,0.78761,0.8087,0.84559,0.54748,1.19977,0.7223,1.0354,0.000736,0.000736,0.000736
6,271.822,1.04773,0.64611,0.99529,0.80039,0.79643,0.84669,0.54936,1.20706,0.72179,1.03762,0.00067,0.00067,0.00067
7,324.858,1.041,0.64164,0.98806,0.80767,0.79069,0.84849,0.55093,1.20086,0.72953,1.03697,0.000604,0.000604,0.000604
8,372.751,1.04034,0.63694,0.99066,0.79543,0.80325,0.84653,0.55327,1.19097,0.71946,1.03392,0.000538,0.000538,0.000538
9,416.423,1.0405,0.63793,0.99123,0.78867,0.80917,0.84882,0.55128,1.19246,0.71689,1.03538,0.000472,0.000472,0.000472
10,456.806,1.03108,0.63019,0.98548,0.78961,0.80488,0.84831,0.5542,1.18734,0.72029,1.034,0.000406,0.000406,0.000406
11,522.586,1.03553,0.62813,0.98878,0.79569,0.80272,0.85121,0.55514,1.19689,0.72017,1.03728,0.00034,0.00034,0.00034
12,577.375,1.03095,0.62809,0.98998,0.80012,0.80428,0.84832,0.55388,1.18612,0.71531,1.03313,0.000274,0.000274,0.000274
13,635.07,1.02543,0.62579,0.99003,0.79875,0.80927,0.84992,0.55531,1.18622,0.71589,1.03306,0.000208,0.000208,0.000208
14,695.157,1.0281,0.62803,0.98391,0.79563,0.81155,0.85016,0.55594,1.18638,0.71703,1.03319,0.000142,0.000142,0.000142
15,746.417,1.0283,0.62699,0.98544,0.79979,0.80406,0.8502,0.55694,1.18461,0.7165,1.03218,7.6e-05,7.6e-05,7.6e-05
